state,slug,usps,automatic_switchblade,balisong,gravity_otf,blade_length_limit,open_carry,concealed_carry,vehicle_possession,preemption,named_city_ordinances,schools_gov_buildings,minors,local_myth,statute_urls,reviewed_date,reviewer,status
Michigan,michigan,MI,Legal to own — ban repealed 11 Oct 2017 (PA 96 of 2017),TO RESEARCH,TO RESEARCH,None statewide,Generally lawful,FELONY for dagger/dirk/stiletto/double-edged non-folding — up to 5 yrs / $2500 (MCL 750.227(1)),Same felony applies in any vehicle occupied — reachable or not,NO — MCL 123.1102 covers firearms only; preemption bill vetoed 2021,Detroit and Lansing restrict blades over 3 inches in public places,TO RESEARCH,TO RESEARCH,"That the 2017 switchblade repeal legalised concealed carry of everything. It did not — MI restricts by blade shape/function, not opening mechanism. Also: the '3-inch rule' in MCL 750.226 only applies once unlawful intent is proven; there is no general 3-inch limit.",https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-750-227 | https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-750-226 | https://www.legislature.mi.gov/documents/2017-2018/billanalysis/Senate/htm/2017-SFA-0245-N.htm,2026-09-01,,PARTIAL — 4 of 12 fields verified
Texas,texas,TX,Legal since 1 Sept 2013 (HB 1862 removed switchblades from the prohibited list),Legal — no separate balisong restriction; only the 5.5in location rule applies,Legal — no separate gravity/OTF restriction after HB 1935,"NONE for ordinary carry. Blade over 5.5in = 'location-restricted knife' (Penal Code 46.01(6)) — a LOCATION limit, not a carry limit","Lawful at any blade length, subject to the location list for knives over 5.5in","Lawful at any blade length, subject to the same location list",No vehicle-specific restriction,YES — Local Government Code 229.001 ('Firearms; Air Guns; Knives; Explosives') bars cities from stricter knife rules; narrow exception for riots/disasters,Preempted — city ordinances stricter than state law are unenforceable,"Location-restricted knives (over 5.5in) banned at: schools/educational institutions, 51% alcohol premises, high school/college/pro sporting events, correctional facilities, hospitals and nursing homes, amusement parks, places of religious worship. Most violations Class C misdemeanor max $500; SCHOOLS = third-degree felony, 2-10 years and up to $10,000","Under 18 may not be sold a location-restricted knife, and may not carry one away from home, own property or own vehicle unless under direct supervision of a parent or legal guardian. Knives 5.5in and under: no age restriction","That daggers, dirks, stilettos, poniards, swords, spears and Bowie knives are still 'illegal knives' in Texas. HB 1935 deleted that whole category effective 1 Sept 2017. Also: 5.5in is not a carry limit, it only decides WHERE you can carry.",https://statutes.capitol.texas.gov/Docs/PE/htm/PE.46.htm | https://statutes.capitol.texas.gov/Docs/LG/htm/LG.229.htm | https://www.akti.org/state-knife-laws/texas/ | https://www.legis.state.tx.us/tlodocs/85R/billtext/pdf/HB01935E.pdf,2026-09-01,Michigan Sports Outdoor,RESEARCHED — 12/12 fields; verify statute URLs resolve before publishing
Florida,florida,FL,Legal under state law — Florida has no switchblade ban. Miami-Dade County has its own switchblade ordinance,Legal under state law,Legal under state law,"NONE in statute. The '4 inches' figure comes from case law on what counts as a 'common pocketknife', not from a carry limit","Generally lawful — s.790.053 targets firearms and electric weapons, not knives","Since 1 July 2023 (HB 543) an eligible adult 21+ may carry a concealed knife WITHOUT a licence, if they meet the criteria for a Concealed Weapon Licence and carry valid ID. Before that, anything beyond a 'common pocketknife' needed a CWL",No knife-specific vehicle restriction,"NO — s.790.33 preempts firearms and ammunition only, not knives",Miami-Dade County switchblade ordinance; other municipalities may have their own,TO RESEARCH — schools and government buildings,TO RESEARCH — permitless concealed carry under HB 543 requires 21+; under-21 rules need checking,"That you still need a Concealed Weapon Licence to carry any knife bigger than a 'common pocketknife'. That stopped being true on 1 July 2023 when HB 543 extended permitless concealed carry to weapons, knives included, for eligible adults 21+. Most knife-law pages online have not been updated.",https://www.flsenate.gov/Laws/Statutes/2024/790.001 | https://www.flsenate.gov/Laws/Statutes/2024/790.01 | https://www.flsenate.gov/Laws/Statutes/2024/790.225 | https://www.flsenate.gov/Laws/Statutes/2024/790.33 | https://www.flsenate.gov/Session/Bill/2023/543/Analyses/h0543b.JDC.PDF | https://www.akti.org/state-knife-laws/florida/,2026-09-01,Michigan Sports Outdoor,RESEARCHED — 10/12 fields; schools and under-21 rules still open
Pennsylvania,pennsylvania,PA,,,,,,,,,,,,,,,,NOT STARTED
Ohio,ohio,OH,,,,,,,,,,,,,,,,NOT STARTED
New York,new-york,NY,,,,,,,,,,,,,,,,NOT STARTED
Georgia,georgia,GA,,,,,,,,,,,,,,,,NOT STARTED
North Carolina,north-carolina,NC,,,,,,,,,,,,,,,,NOT STARTED
Tennessee,tennessee,TN,,,,,,,,,,,,,,,,NOT STARTED
California,california,CA,,,,,,,,,,,,,,,,NOT STARTED
